date,open,high,low,close,close_adj,volume,div,split,trend,seasonal,residual,SMA,EMA,diffCloseSMA,BBlow,BBmid,BBup,BBwidth,BBperc,RSI,5dayMinimum,5dayMaximum,5dayExtremum,20dayMinimum,20dayMaximum,20dayExtremum,60dayMinimum,60dayMaximum,60dayExtremum,10dayTrendWeak,5dayTrendStrong,1dayReturn,1dayReturn_perc,2dayReturn,2dayReturn_perc,3dayReturn,3dayReturn_perc,4dayReturn,4dayReturn_perc,5dayReturn,5dayReturn_perc,close_adj_in1days,close_adj_in2days,close_adj_in3days,close_adj_in4days,close_adj_in5days,buySellKeepRec
2021-12-16,89.75,90.31,89.27,89.64,89.64,1364574.0,0.0,1.0,,1.005638080639113,,89.546,89.39576902473283,0.09399999999999409,84.2164469230484,89.546,94.87555307695162,11.90349781553975,0.5088187507134988,51.30975284838871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,0.0
2021-12-15,88.89,89.41,88.23,88.27,88.27,794212.0,0.0,1.0,,1.0072499207785246,,89.774,89.3700605010205,-1.5040000000000049,84.07081001543479,89.774,95.47718998456521,12.705660847383903,0.36814396819408574,44.13723846613203,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.3700000000000045,-0.015520561912314434,,,,,,,,,89.64,,,,,0.0
2021-12-14,89.98,90.04,88.22,88.4,88.4,1116145.0,0.0,1.0,,1.0057067861394768,,90.0415,89.48585634323318,-1.6414999999999935,84.1469185050976,90.0415,95.9360814949024,13.093032645840857,0.36076195558416196,44.69957740966371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.13000000000000966,0.0014705882352942234,1.2399999999999949,-0.014027149321266918,,,,,,,88.27,89.64,,,,0.0
2021-12-13,89.8,91.88,89.55,89.88,89.88,1086537.0,0.0,1.0,,1.008781037922374,,90.282,89.60015701094194,-0.402000000000001,84.28335815371125,90.282,96.28064184628875,13.288677358252475,0.4664924152582379,51.410917210671386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.4799999999999898,0.016466399643969676,-1.6099999999999994,0.01791277258566981,-0.23999999999999488,0.002670226969292311,,,,,88.4,88.27,89.64,,,0.0
2021-12-10,89.53,90.19,88.95,89.66,89.66,1415043.0,0.0,1.0,,1.0115592031938185,,90.462,89.57069985419898,-0.8020000000000067,84.30836497669492,90.462,96.61563502330509,13.604905978875294,0.434835264281789,50.414914893954744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.21999999999999886,-0.002453714030782983,-1.259999999999991,0.01405308944902961,-1.3900000000000006,0.015503011376310494,-0.01999999999999602,0.00022306491188928135,,,89.88,88.4,88.27,89.64,,0.0
2021-12-09,91.49,91.87,90.0,90.22,90.22,1050166.0,0.0,1.0,,1.012891929487598,,90.63,89.5612998388515,-0.4099999999999966,84.39025962078169,90.63,96.8697403792183,13.769701818864181,0.4671460689802482,52.89906298531954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.5600000000000023,0.006207049434715173,-0.3400000000000034,0.0037685657282199303,-1.8199999999999932,0.020172910662824117,-1.9500000000000028,0.021613832853025983,-0.5799999999999983,0.006428729771669195,89.66,89.88,88.4,88.27,89.64,0.0
2021-12-08,90.85,91.21,89.13,91.13,91.13,1338471.0,0.0,1.0,,1.0079311699190974,,90.7355,89.49196297978324,0.39449999999999363,84.45583289098477,90.7355,97.01516710901524,13.841698362857395,0.5314109007015388,57.00719092335947,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.9099999999999966,0.0099857346647646,-1.4699999999999989,0.01613080215077356,-1.25,0.01371666849555575,-2.7299999999999898,0.029957203994293802,-2.8599999999999994,0.031383737517831634,90.22,89.66,89.88,88.4,88.27,0.0
2021-12-07,88.42,88.42,88.42,88.42,88.42,0.0,0.0,1.0,,1.0061202195309482,,90.767,89.31953803028675,-2.346999999999994,84.47342835902792,90.767,97.06057164097207,13.867532563535372,0.3135398996079842,45.706196662034095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7099999999999937,-0.03064917439493331,1.7999999999999972,-0.020357385206966727,1.2399999999999949,-0.014023976475910471,1.4599999999999937,-0.01651210133453973,-0.01999999999999602,0.00022619316896621555,91.13,90.22,89.66,89.88,88.4,0.0
2021-12-06,88.03,88.8,86.82,88.42,88.42,1100120.0,0.0,1.0,,1.0087994420910424,,90.87899999999999,89.41422624400116,-2.458999999999989,84.6774295537301,90.87899999999999,97.08057044626989,13.647972460678261,0.3017437662520611,45.706196662034095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.7099999999999937,-0.03064917439493331,1.7999999999999972,-0.020357385206966727,1.2399999999999949,-0.014023976475910471,1.4599999999999937,-0.01651210133453973,88.42,91.13,90.22,89.66,89.88,0.0
2021-12-03,89.53,89.61,87.14,87.5,87.5,1385089.0,0.0,1.0,,1.0129576004574887,,91.0125,89.51888163810654,-3.512500000000003,84.91432363324505,91.0125,97.11067636675496,13.400744659810368,0.21200406574423808,41.476022772281645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.9200000000000017,-0.010514285714285698,0.9200000000000017,-0.010514285714285698,3.6299999999999955,-0.041485714285714126,2.719999999999999,-0.031085714285714383,2.1599999999999966,-0.0246857142857142,88.42,88.42,91.13,90.22,89.66,0.0
